Gene,Pfam,MSA
GA4805AA_03761,PF00343,Inter-strain
GA4805AA_02706,PF14681,Inter-strain
GA4805AA_04655,PF01228,Inter-strain
GA4805AA_03453,PF07690,Inter-strain
GA4805AA_01956,PF01124,Inter-strain
GA4805AA_03748,PF00672,Inter-strain
GA4805AA_02509,PF00361,Inter-strain
GA4805AA_04039,PF00205,Inter-strain
GA4805AA_02617,PF02378,Inter-strain
GA4805AA_03028,PF00455,Inter-strain
GA4805AA_04890,PF00583,Inter-strain
GA4805AA_03645,PF00411,Inter-strain
GA4805AA_02551,PF01416,Inter-strain
GA4805AA_01811,PF02824,Inter-strain
GA4805AA_04359,PF00687,Inter-strain
GA4805AA_03805,PF00005,Inter-strain
GA4805AA_00822,PF01569,Inter-strain
GA4805AA_01160,PF02801,Inter-strain
GA4805AA_00079,PF00682,Inter-strain
GA4805AA_03555,PF04552,Inter-strain
GA4805AA_00210,PF00005,Inter-strain
GA4805AA_01838,PF04958,Inter-strain
GA4805AA_02549,PF01039,Inter-strain
GA4805AA_00411,PF07549,Inter-strain
GA4805AA_03425,PF01165,Inter-strain
GA4805AA_03531,PF00004,Inter-strain
GA4805AA_03004,PF03952,Inter-strain
GA4805AA_03493,PF01380,Inter-strain
GA4805AA_03717,PF10414,Inter-strain
GA4805AA_00003,PF00291,Inter-strain
GA4805AA_00509,PF09339,Inter-strain
GA4805AA_02950,PF01455,Inter-strain
GA4805AA_00601,PF02518,Inter-strain
GA4805AA_04524,PF05681,Inter-strain
GA4805AA_00707,PF02817,Inter-strain
GA4805AA_00782,PF02885,Inter-strain
GA4805AA_01509,PF08352,Inter-strain
GA4805AA_03643,PF01193,Inter-strain
GA4805AA_04661,PF02748,Inter-strain
GA4805AA_02779,PF04542,Inter-strain
GA4805AA_01101,PF02811,Inter-strain
GA4805AA_01943,PF00005,Inter-strain
GA4805AA_04548,PF03091,Inter-strain
GA4805AA_00167,PF01521,Inter-strain
GA4805AA_01138,PF13144,Inter-strain
GA4805AA_00634,PF00497,Inter-strain
GA4805AA_02402,PF02302,Inter-strain
GA4805AA_02544,PF02441,Inter-strain
GA4805AA_00186,PF00595,Inter-strain
GA4805AA_04380,PF01071,Inter-strain
GA4805AA_01775,PF00005,Inter-strain
GA4805AA_01342,PF13793,Inter-strain
GA4805AA_02435,PF01578,Inter-strain
GA4805AA_00621,PF06144,Inter-strain
GA4805AA_04305,PF10431,Inter-strain
GA4805AA_04087,PF00005,Inter-strain
GA4805AA_04064,PF02767,Inter-strain
GA4805AA_00208,PF03180,Inter-strain
GA4805AA_00094,PF01225,Inter-strain
GA4805AA_04270,PF01568,Inter-strain
GA4805AA_04242,PF02954,Inter-strain
GA4805AA_02702,PF14559,Inter-strain
GA4805AA_03783,PF00356,Inter-strain
GA4805AA_02736,PF04384,Inter-strain
GA4805AA_03692,PF02635,Inter-strain
GA4805AA_00090,PF00953,Inter-strain
GA4805AA_00089,PF02875,Inter-strain
GA4805AA_04129,PF00291,Inter-strain
GA4805AA_02700,PF00578,Inter-strain
GA4805AA_01158,PF00106,Inter-strain
GA4805AA_00937,PF00275,Inter-strain
GA4805AA_01473,PF00591,Inter-strain
GA4805AA_03376,PF00072,Inter-strain
GA4805AA_00086,PF04999,Inter-strain
GA4805AA_02320,PF00072,Inter-strain
GA4805AA_02739,PF07743,Inter-strain
GA4805AA_03081,PF16187,Inter-strain
GA4805AA_02647,PF00358,Inter-strain
GA4805AA_02933,PF00070,Inter-strain
GA4805AA_03097,PF01553,Inter-strain
GA4805AA_03716,PF01226,Inter-strain
GA4805AA_02515,PF00146,Inter-strain
GA4805AA_01657,PF01047,Inter-strain
GA4805AA_04677,PF03739,Inter-strain
GA4805AA_04099,PF00137,Inter-strain
GA4805AA_00807,PF00899,Inter-strain
GA4805AA_04067,PF00825,Inter-strain
GA4805AA_00723,PF00691,Inter-strain
GA4805AA_00062,PF02610,Inter-strain
GA4805AA_04072,PF07690,Inter-strain
GA4805AA_04466,PF02335,Inter-strain
GA4805AA_00095,PF01820,Inter-strain
GA4805AA_03571,PF00701,Inter-strain
GA4805AA_02774,PF00717,Inter-strain
GA4805AA_03197,PF02325,Inter-strain
GA4805AA_03080,PF00580,Inter-strain
GA4805AA_00430,PF01040,Inter-strain
GA4805AA_04149,PF03808,Inter-strain
GA4805AA_02770,PF03740,Inter-strain
GA4805AA_02929,PF08220,Inter-strain
GA4805AA_01653,PF00171,Inter-strain
GA4805AA_03701,PF00005,Inter-strain
GA4805AA_03190,PF04231,Inter-strain
GA4805AA_00280,PF11799,Inter-strain
GA4805AA_03208,PF02390,Inter-strain
GA4805AA_00024,PF08264,Inter-strain
GA4805AA_01191,PF00005,Inter-strain
GA4805AA_01682,PF02613,Inter-strain
GA4805AA_00874,PF00587,Inter-strain
GA4805AA_00410,PF02355,Inter-strain
GA4805AA_04090,PF12849,Inter-strain
GA4805AA_00821,PF08220,Inter-strain
GA4805AA_00572,PF01032,Inter-strain
GA4805AA_02817,PF02463,Inter-strain
GA4805AA_02808,PF01245,Inter-strain
GA4805AA_00032,PF02786,Inter-strain
GA4805AA_03864,PF16576,Inter-strain
GA4805AA_01510,PF00528,Inter-strain
GA4805AA_01339,PF01195,Inter-strain
GA4805AA_01183,PF02687,Inter-strain
GA4805AA_00812,PF00528,Inter-strain
GA4805AA_03344,PF00374,Inter-strain
GA4805AA_04225,PF12724,Inter-strain
GA4805AA_00418,PF01029,Inter-strain
GA4805AA_00176,PF08335,Inter-strain
GA4805AA_00733,PF04973,Inter-strain
GA4805AA_00089,PF08245,Inter-strain
GA4805AA_00088,PF01225,Inter-strain
GA4805AA_02882,PF00202,Inter-strain
GA4805AA_03599,PF02785,Inter-strain
GA4805AA_02791,PF00614,Inter-strain
GA4805AA_02974,PF04977,Inter-strain
GA4805AA_01928,PF00929,Inter-strain
GA4805AA_03667,PF00573,Inter-strain
GA4805AA_03643,PF03118,Inter-strain
GA4805AA_03896,PF00005,Inter-strain
GA4805AA_04451,PF04237,Inter-strain
GA4805AA_02897,PF00005,Inter-strain
GA4805AA_03960,PF00392,Inter-strain
GA4805AA_01969,PF00072,Inter-strain
GA4805AA_00799,PF01325,Inter-strain
GA4805AA_01674,PF13302,Inter-strain
GA4805AA_03665,PF00181,Inter-strain
GA4805AA_03502,PF13580,Inter-strain
GA4805AA_00714,PF01654,Inter-strain
GA4805AA_04579,PF01256,Inter-strain
GA4805AA_00745,PF13531,Inter-strain
GA4805AA_01973,PF01584,Inter-strain
GA4805AA_01545,PF00325,Inter-strain
GA4805AA_00873,PF16193,Inter-strain
GA4805AA_01914,PF00595,Inter-strain
GA4805AA_04423,PF01726,Inter-strain
GA4805AA_02760,PF00158,Inter-strain
GA4805AA_01658,PF12833,Inter-strain
GA4805AA_00091,PF08245,Inter-strain
GA4805AA_00524,PF02222,Inter-strain
GA4805AA_01780,PF01565,Inter-strain
GA4805AA_04553,PF00166,Inter-strain
GA4805AA_04907,PF13541,Inter-strain
GA4805AA_01941,PF01551,Inter-strain
GA4805AA_02726,PF00587,Inter-strain
GA4805AA_00091,PF02875,Inter-strain
GA4805AA_01854,PF00586,Inter-strain
GA4805AA_04303,PF03737,Inter-strain
GA4805AA_03690,PF00164,Inter-strain
GA4805AA_00813,PF12911,Inter-strain
GA4805AA_03552,PF06835,Inter-strain
GA4805AA_00280,PF00817,Inter-strain
GA4805AA_04062,PF01751,Inter-strain
GA4805AA_02716,PF00117,Inter-strain
GA4805AA_02707,PF00586,Inter-strain
GA4805AA_02511,PF00361,Inter-strain
GA4805AA_00193,PF01351,Inter-strain
GA4805AA_00436,PF03923,Inter-strain
GA4805AA_00703,PF01127,Inter-strain
GA4805AA_00221,PF16123,Inter-strain
GA4805AA_00002,PF08544,Inter-strain
GA4805AA_00500,PF00005,Inter-strain
GA4805AA_01618,PF01568,Inter-strain
GA4805AA_04648,PF02653,Inter-strain
GA4805AA_04387,PF01274,Inter-strain
GA4805AA_01767,PF13247,Inter-strain
GA4805AA_04915,PF05981,Inter-strain
GA4805AA_00836,PF00005,Inter-strain
GA4805AA_02809,PF01746,Inter-strain
GA4805AA_00746,PF00528,Inter-strain
GA4805AA_04314,PF03447,Inter-strain
GA4805AA_01953,PF00152,Inter-strain
GA4805AA_00096,PF03799,Inter-strain
GA4805AA_03529,PF02879,Inter-strain
GA4805AA_01691,PF00893,Inter-strain
GA4805AA_04169,PF13419,Inter-strain
GA4805AA_02414,PF00528,Inter-strain
GA4805AA_04220,PF00108,Inter-strain
GA4805AA_00151,PF00749,Inter-strain
GA4805AA_02641,PF00533,Inter-strain
GA4805AA_00032,PF02787,Inter-strain
GA4805AA_00181,PF01765,Inter-strain
GA4805AA_00763,PF06463,Inter-strain
GA4805AA_03150,PF05195,Inter-strain
GA4805AA_02604,PF00205,Inter-strain
GA4805AA_01613,PF14711,Inter-strain
GA4805AA_03714,PF01077,Inter-strain
GA4805AA_00622,PF04390,Inter-strain
GA4805AA_01141,PF13860,Inter-strain
GA4805AA_00708,PF08442,Inter-strain
GA4805AA_04286,PF00072,Inter-strain
GA4805AA_03530,PF00809,Inter-strain
GA4805AA_03989,PF01467,Inter-strain
GA4805AA_02662,PF01520,Inter-strain
GA4805AA_03970,PF04748,Inter-strain
GA4805AA_03081,PF05193,Inter-strain
GA4805AA_00094,PF08245,Inter-strain
GA4805AA_02737,PF00111,Inter-strain
GA4805AA_03896,PF08352,Inter-strain
GA4805AA_04585,PF16360,Inter-strain
GA4805AA_04147,PF07429,Inter-strain
GA4805AA_00440,PF06689,Inter-strain
GA4805AA_00127,PF01564,Inter-strain
GA4805AA_01515,PF04012,Inter-strain
GA4805AA_00062,PF11762,Inter-strain
GA4805AA_02984,PF00258,Inter-strain
GA4805AA_03529,PF02878,Inter-strain
GA4805AA_02724,PF01011,Inter-strain
GA4805AA_03390,PF05728,Inter-strain
GA4805AA_03587,PF07869,Inter-strain
GA4805AA_02538,PF08338,Inter-strain
GA4805AA_00577,PF00550,Inter-strain
GA4805AA_00792,PF00528,Inter-strain
GA4805AA_00221,PF00753,Inter-strain
GA4805AA_04006,PF00270,Inter-strain
GA4805AA_02536,PF02798,Inter-strain
GA4805AA_02387,PF00356,Inter-strain
GA4805AA_03920,PF00370,Inter-strain
GA4805AA_02641,PF03119,Inter-strain
GA4805AA_04420,PF01040,Inter-strain
GA4805AA_04297,PF00582,Inter-strain
GA4805AA_03651,PF00333,Inter-strain
GA4805AA_03729,PF00834,Inter-strain
GA4805AA_03359,PF00248,Inter-strain
GA4805AA_03644,PF00163,Inter-strain
GA4805AA_03089,PF02896,Inter-strain
GA4805AA_01163,PF02223,Inter-strain
GA4805AA_02983,PF01077,Inter-strain
GA4805AA_01141,PF03963,Inter-strain
GA4805AA_00182,PF13288,Inter-strain
GA4805AA_01517,PF04024,Inter-strain
GA4805AA_04304,PF01040,Inter-strain
GA4805AA_03864,PF00529,Inter-strain
GA4805AA_00170,PF01048,Inter-strain
GA4805AA_00579,PF03061,Inter-strain
GA4805AA_02339,PF08543,Inter-strain
GA4805AA_01072,PF13591,Inter-strain
GA4805AA_04367,PF00899,Inter-strain
GA4805AA_00427,PF02558,Inter-strain
GA4805AA_04380,PF02843,Inter-strain
GA4805AA_00194,PF07733,Inter-strain
GA4805AA_02439,PF03892,Inter-strain
GA4805AA_00654,PF01182,Inter-strain
GA4805AA_02909,PF04262,Inter-strain
GA4805AA_00058,PF00849,Inter-strain
GA4805AA_04662,PF00185,Inter-strain
GA4805AA_01764,PF13247,Inter-strain
GA4805AA_01980,PF00982,Inter-strain
GA4805AA_03104,PF04962,Inter-strain
GA4805AA_01948,PF01330,Inter-strain
GA4805AA_01125,PF01266,Inter-strain
GA4805AA_00102,PF00293,Inter-strain
GA4805AA_01391,PF00614,Inter-strain
GA4805AA_03519,PF09157,Inter-strain
GA4805AA_00791,PF00005,Inter-strain
GA4805AA_01029,PF10672,Inter-strain
GA4805AA_02740,PF01521,Inter-strain
GA4805AA_03767,PF00581,Inter-strain
GA4805AA_03647,PF00444,Inter-strain
GA4805AA_03531,PF01434,Inter-strain
GA4805AA_00119,PF07729,Inter-strain
GA4805AA_01388,PF00005,Inter-strain
GA4805AA_03089,PF05524,Inter-strain
GA4805AA_04166,PF01678,Inter-strain
GA4805AA_02389,PF01227,Inter-strain
GA4805AA_03821,PF00005,Inter-strain
GA4805AA_03154,PF00389,Inter-strain
GA4805AA_01338,PF06071,Inter-strain
GA4805AA_04069,PF01926,Inter-strain
GA4805AA_04107,PF05762,Inter-strain
GA4805AA_00706,PF02779,Inter-strain
GA4805AA_02419,PF00849,Inter-strain
GA4805AA_03648,PF00344,Inter-strain
GA4805AA_00764,PF00994,Inter-strain
GA4805AA_00597,PF04223,Inter-strain
GA4805AA_00472,PF02575,Inter-strain
GA4805AA_02573,PF00725,Inter-strain
GA4805AA_02943,PF00329,Inter-strain
GA4805AA_03454,PF00392,Inter-strain
GA4805AA_01079,PF01613,Inter-strain
GA4805AA_01182,PF00005,Inter-strain
GA4805AA_01773,PF00266,Inter-strain
GA4805AA_00188,PF03938,Inter-strain
GA4805AA_00104,PF07072,Inter-strain
GA4805AA_00461,PF05321,Inter-strain
GA4805AA_00740,PF02744,Inter-strain
GA4805AA_04655,PF03477,Inter-strain
GA4805AA_04322,PF00923,Inter-strain
GA4805AA_01389,PF08352,Inter-strain
GA4805AA_03135,PF01368,Inter-strain
GA4805AA_02683,PF00456,Inter-strain
GA4805AA_02928,PF06923,Inter-strain
GA4805AA_03694,PF08348,Inter-strain
GA4805AA_01058,PF04809,Inter-strain
GA4805AA_00757,PF06968,Inter-strain
GA4805AA_01805,PF00216,Inter-strain
GA4805AA_03371,PF01553,Inter-strain
GA4805AA_01726,PF00730,Inter-strain
GA4805AA_01338,PF01926,Inter-strain
GA4805AA_00464,PF00529,Inter-strain
GA4805AA_04547,PF13899,Inter-strain
GA4805AA_04463,PF00474,Inter-strain
GA4805AA_02742,PF00266,Inter-strain
GA4805AA_04558,PF01132,Inter-strain
GA4805AA_00765,PF01967,Inter-strain
GA4805AA_02266,PF00977,Inter-strain
GA4805AA_04869,PF04328,Inter-strain
GA4805AA_04586,PF12221,Inter-strain
GA4805AA_03772,PF00343,Inter-strain
GA4805AA_01697,PF00106,Inter-strain
GA4805AA_02535,PF14834,Inter-strain
GA4805AA_01090,PF09375,Inter-strain
GA4805AA_03906,PF00583,Inter-strain
GA4805AA_01902,PF03610,Inter-strain
GA4805AA_03959,PF02652,Inter-strain
GA4805AA_00833,PF08443,Inter-strain
GA4805AA_03004,PF00113,Inter-strain
GA4805AA_01957,PF12847,Inter-strain
GA4805AA_00588,PF10417,Inter-strain
GA4805AA_04165,PF13627,Inter-strain
GA4805AA_02261,PF08029,Inter-strain
GA4805AA_04243,PF00512,Inter-strain
GA4805AA_03013,PF00258,Inter-strain
GA4805AA_04006,PF01336,Inter-strain
GA4805AA_02776,PF04246,Inter-strain
GA4805AA_04275,PF05336,Inter-strain
GA4805AA_00577,PF00857,Inter-strain
GA4805AA_04868,PF07683,Inter-strain
GA4805AA_01343,PF08544,Inter-strain
GA4805AA_02383,PF01180,Inter-strain
GA4805AA_02717,PF00478,Inter-strain
GA4805AA_02501,PF02776,Inter-strain
GA4805AA_01944,PF00950,Inter-strain
GA4805AA_01274,PF01656,Inter-strain
GA4805AA_02542,PF00497,Inter-strain
GA4805AA_00758,PF00155,Inter-strain
GA4805AA_04414,PF14785,Inter-strain
GA4805AA_01731,PF01243,Inter-strain
GA4805AA_02779,PF08281,Inter-strain
GA4805AA_03702,PF00561,Inter-strain
GA4805AA_01617,PF00384,Inter-strain
GA4805AA_03354,PF01618,Inter-strain
GA4805AA_03599,PF00289,Inter-strain
GA4805AA_00716,PF08173,Inter-strain
GA4805AA_03656,PF00281,Inter-strain
GA4805AA_00494,PF16200,Inter-strain
GA4805AA_03817,PF01648,Inter-strain
GA4805AA_03422,PF05683,Inter-strain
GA4805AA_03547,PF02405,Inter-strain
GA4805AA_01051,PF01027,Inter-strain
GA4805AA_02558,PF08891,Inter-strain
GA4805AA_02267,PF00977,Inter-strain
GA4805AA_04098,PF00430,Inter-strain
GA4805AA_03191,PF04452,Inter-strain
GA4805AA_04550,PF10415,Inter-strain
GA4805AA_03629,PF08501,Inter-strain
GA4805AA_04364,PF06968,Inter-strain
GA4805AA_02897,PF00571,Inter-strain
GA4805AA_00175,PF14602,Inter-strain
GA4805AA_03988,PF00534,Inter-strain
GA4805AA_04842,PF08125,Inter-strain
GA4805AA_04900,PF00591,Inter-strain
GA4805AA_02743,PF02082,Inter-strain
GA4805AA_02717,PF00571,Inter-strain
GA4805AA_01804,PF01032,Inter-strain
GA4805AA_02307,PF00485,Inter-strain
GA4805AA_03875,PF03631,Inter-strain
GA4805AA_03990,PF01149,Inter-strain
GA4805AA_00402,PF02518,Inter-strain
GA4805AA_01613,PF13247,Inter-strain
GA4805AA_03610,PF06325,Inter-strain
GA4805AA_00210,PF09383,Inter-strain
GA4805AA_01373,PF01842,Inter-strain
GA4805AA_04526,PF00072,Inter-strain
GA4805AA_03924,PF02653,Inter-strain
GA4805AA_03646,PF00416,Inter-strain
GA4805AA_02501,PF02775,Inter-strain
GA4805AA_00843,PF00528,Inter-strain
GA4805AA_00189,PF14602,Inter-strain
GA4805AA_00777,PF16576,Inter-strain
GA4805AA_00025,PF01252,Inter-strain
GA4805AA_01116,PF00535,Inter-strain
GA4805AA_03994,PF04127,Inter-strain
GA4805AA_03081,PF00675,Inter-strain
GA4805AA_02665,PF00936,Inter-strain
GA4805AA_02440,PF12801,Inter-strain
GA4805AA_03136,PF10411,Inter-strain
GA4805AA_04221,PF00378,Inter-strain
GA4805AA_00452,PF00543,Inter-strain
GA4805AA_02660,PF11143,Inter-strain
GA4805AA_03635,PF00551,Inter-strain
GA4805AA_02759,PF00543,Inter-strain
GA4805AA_03192,PF02955,Inter-strain
GA4805AA_03899,PF00528,Inter-strain
GA4805AA_04571,PF12794,Inter-strain
GA4805AA_02337,PF00392,Inter-strain
GA4805AA_02360,PF07308,Inter-strain
GA4805AA_03377,PF08521,Inter-strain
GA4805AA_04469,PF03916,Inter-strain
GA4805AA_02927,PF00106,Inter-strain
GA4805AA_02728,PF13413,Inter-strain
GA4805AA_04582,PF13589,Inter-strain
GA4805AA_04409,PF06251,Inter-strain
GA4805AA_00111,PF01510,Inter-strain
GA4805AA_04614,PF01084,Inter-strain
GA4805AA_00793,PF00497,Inter-strain
GA4805AA_01362,PF14711,Inter-strain
GA4805AA_04587,PF01145,Inter-strain
GA4805AA_04086,PF01895,Inter-strain
GA4805AA_01743,PF00724,Inter-strain
GA4805AA_01003,PF02606,Inter-strain
GA4805AA_02443,PF03927,Inter-strain
GA4805AA_01195,PF00072,Inter-strain
GA4805AA_02520,PF01058,Inter-strain
GA4805AA_04908,PF13521,Inter-strain
GA4805AA_01948,PF07499,Inter-strain
GA4805AA_01104,PF03783,Inter-strain
GA4805AA_00420,PF04608,Inter-strain
GA4805AA_00039,PF02770,Inter-strain
GA4805AA_03820,PF00528,Inter-strain
GA4805AA_01199,PF00293,Inter-strain
GA4805AA_02920,PF00154,Inter-strain
GA4805AA_01053,PF14720,Inter-strain
GA4805AA_02511,PF00662,Inter-strain
GA4805AA_02716,PF02540,Inter-strain
GA4805AA_04219,PF00970,Inter-strain
GA4805AA_04117,PF00392,Inter-strain
GA4805AA_02919,PF02631,Inter-strain
GA4805AA_03031,PF03466,Inter-strain
GA4805AA_04019,PF13347,Inter-strain
GA4805AA_03012,PF07690,Inter-strain
GA4805AA_03458,PF05957,Inter-strain
GA4805AA_01160,PF00109,Inter-strain
GA4805AA_00862,PF02617,Inter-strain
GA4805AA_02813,PF01578,Inter-strain
GA4805AA_00704,PF00890,Inter-strain
GA4805AA_02641,PF01653,Inter-strain
GA4805AA_02663,PF01218,Inter-strain
GA4805AA_00088,PF08245,Inter-strain
GA4805AA_00119,PF00392,Inter-strain
GA4805AA_01047,PF08755,Inter-strain
GA4805AA_02319,PF02518,Inter-strain
GA4805AA_03536,PF01018,Inter-strain
GA4805AA_01145,PF02107,Inter-strain
GA4805AA_01137,PF04316,Inter-strain
GA4805AA_00402,PF11808,Inter-strain
GA4805AA_04371,PF09297,Inter-strain
GA4805AA_03748,PF00512,Inter-strain
GA4805AA_00096,PF08478,Inter-strain
GA4805AA_01776,PF01458,Inter-strain
GA4805AA_00738,PF01263,Inter-strain
GA4805AA_04362,PF04560,Inter-strain
GA4805AA_03550,PF01380,Inter-strain
GA4805AA_04472,PF13414,Inter-strain
GA4805AA_01897,PF00425,Inter-strain
GA4805AA_04916,PF00486,Inter-strain
GA4805AA_01810,PF00707,Inter-strain
GA4805AA_03184,PF00278,Inter-strain
GA4805AA_04143,PF00483,Inter-strain
GA4805AA_00060,PF00136,Inter-strain
GA4805AA_03566,PF07992,Inter-strain
GA4805AA_03462,PF13409,Inter-strain
GA4805AA_02723,PF01926,Inter-strain
GA4805AA_03382,PF03992,Inter-strain
GA4805AA_00860,PF02687,Inter-strain
GA4805AA_01927,PF00795,Inter-strain
GA4805AA_03632,PF04361,Inter-strain
GA4805AA_04550,PF00206,Inter-strain
GA4805AA_04565,PF02300,Inter-strain
GA4805AA_02605,PF02515,Inter-strain
GA4805AA_03375,PF04076,Inter-strain
GA4805AA_01546,PF02870,Inter-strain
GA4805AA_03427,PF04546,Inter-strain
GA4805AA_03637,PF02254,Inter-strain
GA4805AA_01868,PF07023,Inter-strain
GA4805AA_01720,PF02508,Inter-strain
GA4805AA_00095,PF07478,Inter-strain
GA4805AA_03557,PF00359,Inter-strain
GA4805AA_04129,PF00585,Inter-strain
GA4805AA_01806,PF03483,Inter-strain
GA4805AA_04004,PF13291,Inter-strain
GA4805AA_04314,PF00742,Inter-strain
GA4805AA_02424,PF00884,Inter-strain
GA4805AA_02431,PF08534,Inter-strain
GA4805AA_02714,PF05433,Inter-strain
GA4805AA_03832,PF12698,Inter-strain
GA4805AA_00001,PF00742,Inter-strain
GA4805AA_04285,PF00672,Inter-strain
GA4805AA_03473,PF01042,Inter-strain
GA4805AA_04140,PF02350,Inter-strain
GA4805AA_03026,PF02782,Inter-strain
GA4805AA_04610,PF00596,Inter-strain
GA4805AA_03391,PF00149,Inter-strain
GA4805AA_04468,PF13247,Inter-strain
GA4805AA_02640,PF12843,Inter-strain
GA4805AA_03529,PF02880,Inter-strain
GA4805AA_03474,PF02901,Inter-strain
GA4805AA_02531,PF07085,Inter-strain
GA4805AA_00743,PF03459,Inter-strain
GA4805AA_04900,PF07831,Inter-strain
GA4805AA_02449,PF13532,Inter-strain
GA4805AA_02810,PF05239,Inter-strain
GA4805AA_01891,PF03843,Inter-strain
GA4805AA_02055,PF00633,Inter-strain
GA4805AA_03026,PF00370,Inter-strain
GA4805AA_03148,PF01494,Inter-strain
GA4805AA_03457,PF06476,Inter-strain
GA4805AA_04554,PF00118,Inter-strain
GA4805AA_01511,PF00528,Inter-strain
GA4805AA_03412,PF00294,Inter-strain
GA4805AA_03640,PF09278,Inter-strain
GA4805AA_03413,PF08335,Inter-strain
GA4805AA_03426,PF13662,Inter-strain
GA4805AA_03097,PF13193,Inter-strain
GA4805AA_03006,PF03819,Inter-strain
GA4805AA_01617,PF04879,Inter-strain
GA4805AA_04368,PF02581,Inter-strain
GA4805AA_02521,PF00507,Inter-strain
GA4805AA_03754,PF09012,Inter-strain
GA4805AA_02773,PF00035,Inter-strain
GA4805AA_04128,PF00920,Inter-strain
GA4805AA_02440,PF13237,Inter-strain
GA4805AA_03088,PF01790,Inter-strain
GA4805AA_03209,PF14815,Inter-strain
GA4805AA_00932,PF02901,Inter-strain
GA4805AA_00508,PF04115,Inter-strain
GA4805AA_04496,PF00583,Inter-strain
GA4805AA_04039,PF02775,Inter-strain
GA4805AA_03451,PF08666,Inter-strain
GA4805AA_01273,PF03776,Inter-strain
GA4805AA_02531,PF13500,Inter-strain
GA4805AA_03948,PF12390,Inter-strain
GA4805AA_04369,PF13667,Inter-strain
GA4805AA_00615,PF01098,Inter-strain
GA4805AA_00702,PF01127,Inter-strain
GA4805AA_03796,PF02653,Inter-strain
GA4805AA_01171,PF01636,Inter-strain
GA4805AA_03737,PF05137,Inter-strain
GA4805AA_03345,PF03916,Inter-strain
GA4805AA_01344,PF03550,Inter-strain
GA4805AA_01948,PF14520,Inter-strain
GA4805AA_02716,PF00958,Inter-strain
GA4805AA_00191,PF00132,Inter-strain
GA4805AA_01713,PF00356,Inter-strain
GA4805AA_00576,PF13193,Inter-strain
GA4805AA_03427,PF00140,Inter-strain
GA4805AA_04062,PF00204,Inter-strain
GA4805AA_03455,PF09335,Inter-strain
GA4805AA_01161,PF01063,Inter-strain
GA4805AA_00202,PF00472,Inter-strain
GA4805AA_03029,PF01728,Inter-strain
GA4805AA_04002,PF00625,Inter-strain
GA4805AA_04603,PF08220,Inter-strain
GA4805AA_04242,PF00072,Inter-strain
GA4805AA_01806,PF03147,Inter-strain
GA4805AA_04221,PF02737,Inter-strain
GA4805AA_01149,PF00669,Inter-strain
GA4805AA_01275,PF03775,Inter-strain
GA4805AA_03804,PF02687,Inter-strain
GA4805AA_00035,PF00132,Inter-strain
GA4805AA_01165,PF01026,Inter-strain
GA4805AA_03664,PF00203,Inter-strain
GA4805AA_01845,PF13416,Inter-strain
GA4805AA_04325,PF02302,Inter-strain
GA4805AA_01342,PF14572,Inter-strain
GA4805AA_00872,PF03548,Inter-strain
GA4805AA_03522,PF13184,Inter-strain
GA4805AA_00183,PF01255,Inter-strain
GA4805AA_01472,PF00218,Inter-strain
GA4805AA_04566,PF13085,Inter-strain
GA4805AA_00023,PF06574,Inter-strain
GA4805AA_02901,PF03591,Inter-strain
GA4805AA_00495,PF00005,Inter-strain
GA4805AA_04906,PF00702,Inter-strain
GA4805AA_01361,PF14710,Inter-strain
GA4805AA_04842,PF01232,Inter-strain
GA4805AA_00595,PF01874,Inter-strain
GA4805AA_01014,PF05951,Inter-strain
GA4805AA_04004,PF13328,Inter-strain
GA4805AA_03776,PF02806,Inter-strain
GA4805AA_03742,PF13419,Inter-strain
GA4805AA_00451,PF00664,Inter-strain
GA4805AA_02382,PF00070,Inter-strain
GA4805AA_01132,PF13302,Inter-strain
GA4805AA_00176,PF01842,Inter-strain
GA4805AA_03649,PF00828,Inter-strain
GA4805AA_01476,PF01300,Inter-strain
GA4805AA_02656,PF01380,Inter-strain
GA4805AA_04100,PF00119,Inter-strain
GA4805AA_00567,PF03621,Inter-strain
GA4805AA_02497,PF00501,Inter-strain
GA4805AA_04062,PF00986,Inter-strain
GA4805AA_00464,PF16576,Inter-strain
GA4805AA_03555,PF04963,Inter-strain
GA4805AA_03087,PF00303,Inter-strain
GA4805AA_02409,PF07683,Inter-strain
GA4805AA_00673,PF02878,Inter-strain
GA4805AA_04516,PF00072,Inter-strain
GA4805AA_03792,PF00528,Inter-strain
GA4805AA_00571,PF01032,Inter-strain
GA4805AA_02921,PF02464,Inter-strain
GA4805AA_01843,PF09335,Inter-strain
GA4805AA_02516,PF00384,Inter-strain
GA4805AA_04066,PF00468,Inter-strain
GA4805AA_04896,PF01026,Inter-strain
GA4805AA_00026,PF00254,Inter-strain
GA4805AA_02977,PF00009,Inter-strain
GA4805AA_03568,PF00480,Inter-strain
GA4805AA_03631,PF01396,Inter-strain
GA4805AA_01545,PF00027,Inter-strain
GA4805AA_00759,PF08241,Inter-strain
GA4805AA_00566,PF00756,Inter-strain
GA4805AA_00566,PF11806,Inter-strain
GA4805AA_04673,PF10458,Inter-strain
GA4805AA_00453,PF00909,Inter-strain
GA4805AA_00402,PF00512,Inter-strain
GA4805AA_00043,PF01494,Inter-strain
GA4805AA_03964,PF01210,Inter-strain
GA4805AA_01562,PF02826,Inter-strain
